carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,model_engine_freq,y_true,y_pred,residual,abs_residual
13374,BMW,2 Series,2015.0,Semi-Auto,33419.0,Diesel,20.0,68.9,2.0,42.0,3.0,0.0,6.066108090103747,123456.0,14635.606,108820.3935546875,108820.3935546875
35970,Mercedes-Benz,G-Class,2015.0,Semi-Auto,10000.0,Petrol,570.0,20.5,5.5,74.0,3.0,0.0,0.6931471805599453,99850.0,192402.66,-92552.65625,92552.65625
43994,Mercedes-Benz,A-Class,2019.0,Semi-Auto,785.0,Petrol,150.0,22.1,,64.0,0.0,0.0,0.0,140319.0,50576.91,89742.08984375,89742.08984375
41265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,22.1,,37.0,4.0,0.0,0.0,139559.0,55452.586,84106.4140625,84106.4140625
4677,Audi,R8,2013.0,Semi-Auto,10800.0,Petrol,570.0,22.4,4.2,98.0,1.0,0.0,1.791759469228055,54850.0,120987.086,-66137.0859375,66137.0859375
46012,Mercedes-Benz,SL-Class,2011.0,Automatic,3000.0,Petrol,570.0,21.4,6.2,78.0,4.0,0.0,0.6931471805599453,149948.0,84462.695,65485.3046875,65485.3046875
49591,Škoda,Karoq,2019.0,Automatic,3764.0,Petrol,145.0,40.9,1.5,86.0,1.0,0.0,4.5217885770490405,91874.0,27480.691,64393.30859375,64393.30859375
6752,Audi,R8,2014.0,Semi-Auto,19800.0,Petrol,570.0,22.8,4.2,70.0,3.0,0.0,1.791759469228055,51990.0,116307.51,-64317.5078125,64317.5078125
2354,Audi,R8,2015.0,Automatic,23924.0,Petrol,570.0,22.8,4.2,86.0,1.0,0.0,1.791759469228055,54945.0,117820.56,-62875.5625,62875.5625
43941,Mercedes-Benz,GLE-Class,2016.0,Semi-Auto,19466.0,Petrol,570.0,23.9,5.5,77.0,3.0,0.0,2.3978952727983707,48480.0,109549.12,-61069.1171875,61069.1171875
4111,Audi,R8,2014.0,Automatic,31930.0,Petrol,580.0,21.9,5.2,93.0,1.0,0.0,2.833213344056216,59990.0,115954.65,-55964.6484375,55964.6484375
2280,Audi,RS4,2015.0,Semi-Auto,35905.0,Petrol,565.0,9.821461970493658,4.2,93.0,4.0,0.0,1.6094379124341003,29995.0,84606.36,-54611.359375,54611.359375
35769,Mercedes-Benz,M-Class,1970.0,Automatic,14000.0,Diesel,305.0,39.2,,44.0,3.0,0.0,0.0,24999.0,78322.75,-53323.75,53323.75
41417,Mercedes-Benz,G-Class,2015.0,Semi-Auto,34400.0,Diesel,570.0,25.2,3.0,90.0,2.0,0.0,1.3862943611198906,52995.0,104666.125,-51671.125,51671.125
2020,Audi,R8,2016.0,Automatic,28888.0,Petrol,570.0,24.1,5.2,67.0,3.0,0.0,2.833213344056216,74500.0,124830.516,-50330.515625,50330.515625
6647,Audi,R8,2024.0,Semi-Auto,4000.0,Petrol,145.0,21.4,5.2,95.0,4.0,0.0,2.833213344056216,129000.0,178631.05,-49631.046875,49631.046875
