carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
13374,BMW,2 Series,2015.0,Semi-Auto,33419.0,Diesel,20.0,68.9,2.0,42.0,3.0,0.0,123456.0,13363.658,110092.341796875,110092.341796875
43994,Mercedes-Benz,A-Class,2019.0,Semi-Auto,785.0,Petrol,150.0,22.1,,64.0,0.0,0.0,140319.0,34269.082,106049.91796875,106049.91796875
41265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,22.1,,37.0,4.0,0.0,139559.0,35201.29,104357.7109375,104357.7109375
46012,Mercedes-Benz,SL-Class,2011.0,Automatic,3000.0,Petrol,570.0,21.4,6.2,78.0,4.0,0.0,149948.0,77373.72,72574.28125,72574.28125
49591,Škoda,Karoq,2019.0,Automatic,3764.0,Petrol,145.0,40.9,1.5,86.0,1.0,0.0,91874.0,22549.98,69324.01953125,69324.01953125
44942,Mercedes-Benz,S-Class,2019.0,Semi-Auto,4688.0,Petrol,326.028233171514,31.7,4.0,42.0,1.0,0.0,109995.0,49391.8,60603.19921875,60603.19921875
6834,Audi,,2019.0,Automatic,5800.0,Diesel,145.0,30.7,4.0,94.0,2.0,0.0,89750.0,42418.0,47332.0,47332.0
11246,BMW,M5,2019.0,Semi-Auto,2269.0,Petrol,145.0,,4.4,60.0,3.0,0.0,89900.0,43000.535,46899.46484375,46899.46484375
35340,Mercedes-Benz,G-Class,2020.0,Automatic,3000.0,Petrol,150.0,21.4,4.0,58.0,1.0,0.0,154998.0,108105.875,46892.125,46892.125
36548,Mercedes-Benz,A-Class,2019.0,Automatic,250.0,Petrol,145.0,24.6,4.0,37.0,1.0,0.0,126000.0,80738.914,45261.0859375,45261.0859375
41753,Mercedes-Benz,C-Class,2017.0,Automatic,21800.0,Petrol,,,,58.0,1.0,0.0,59740.0,17075.502,42664.498046875,42664.498046875
36451,Mercedes-Benz,A-Class,,Automatic,637.0,Petrol,145.0,24.8,4.0,52.0,,0.0,125796.0,83516.57,42279.4296875,42279.4296875
35379,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2270.0,Petrol,,,,99.0,0.0,0.0,67199.0,26869.797,40329.203125,40329.203125
9713,BMW,3 Series,2020.0,Semi-Auto,150.0,Diesel,150.0,47.1,3.0,93.0,3.0,0.0,71990.0,32795.246,39194.75390625,39194.75390625
1950,Audi,R8,2019.0,Automatic,1000.0,Petrol,145.0,32.8,5.2,30.0,1.0,0.0,135000.0,97797.78,37202.21875,37202.21875
12917,BMW,M4,2016.0,Automatic,4550.0,Petrol,300.0,33.2,3.0,73.0,3.0,0.0,76990.0,41456.08,35533.921875,35533.921875
766,Audi,R8,2020.0,Semi-Auto,2000.0,Petrol,145.0,21.1,5.2,81.0,4.0,0.0,145000.0,109487.7,35512.296875,35512.296875
38485,Mercedes-Benz,G-Class,2020.0,Semi-Auto,1350.0,Petrol,145.0,21.4,4.0,99.0,1.0,0.0,159999.0,124844.805,35154.1953125,35154.1953125
10787,BMW,,2020.0,Semi-Auto,5000.0,Diesel,150.0,31.4,3.0,47.0,4.0,0.0,78000.0,43022.438,34977.5625,34977.5625
35363,Mercedes-Benz,A-Class,2019.0,Semi-Auto,880.0,Petrol,145.0,24.8,4.0,41.0,4.0,0.0,124366.0,89965.46,34400.5390625,34400.5390625
45540,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,,,4.0,46.0,2.0,0.0,88995.0,55003.1,33991.8984375,33991.8984375
1220,Audi,A8,2020.0,Automatic,250.0,Diesel,145.0,39.2,3.0,41.0,3.0,0.0,78990.0,45065.125,33924.875,33924.875
2280,Audi,RS4,2015.0,Semi-Auto,35905.0,Petrol,565.0,9.821461970493658,4.2,93.0,4.0,0.0,29995.0,63491.297,-33496.296875,33496.296875
13568,BMW,,2019.0,Semi-Auto,10.0,Diesel,145.0,31.4,3.0,55.0,1.0,0.0,76970.0,43795.504,33174.49609375,33174.49609375
