carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
13374,BMW,2 Series,2015.0,Semi-Auto,33419.0,Diesel,20.0,68.9,2.0,3.0,0.0,123456.0,14482.45,108973.55,108973.55
43994,Mercedes-Benz,A-Class,2019.0,Semi-Auto,785.0,Petrol,150.0,22.1,,0.0,0.0,140319.0,35656.105,104662.895,104662.895
41265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,22.1,,4.0,0.0,139559.0,36181.652,103377.348,103377.348
46012,Mercedes-Benz,SL-Class,2011.0,Automatic,3000.0,Petrol,570.0,21.4,6.2,4.0,0.0,149948.0,82182.0,67766.0,67766.0
49591,Škoda,Karoq,2019.0,Automatic,3764.0,Petrol,145.0,40.9,1.5,1.0,0.0,91874.0,24691.902,67182.098,67182.098
6647,Audi,R8,,Semi-Auto,4000.0,Petrol,145.0,21.4,5.2,4.0,0.0,129000.0,87172.625,41827.375,41827.375
41753,Mercedes-Benz,C-Class,2017.0,Automatic,21800.0,Petrol,,,,1.0,0.0,59740.0,21066.75,38673.25,38673.25
35379,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2270.0,Petrol,,,,0.0,0.0,67199.0,29031.793,38167.209,38167.209
4703,,,2019.0,Automatic,10.0,Petrol,,30.4,2.9,1.0,0.0,51990.0,15940.812,36049.188,36049.188
45540,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,,,4.0,2.0,0.0,88995.0,53217.285,35777.715,35777.715
1950,Audi,R8,2019.0,Automatic,1000.0,Petrol,145.0,32.8,5.2,1.0,0.0,135000.0,101526.48,33473.523,33473.523
9713,BMW,3 Series,2020.0,Semi-Auto,150.0,Diesel,150.0,47.1,3.0,3.0,0.0,71990.0,39429.934,32560.066,32560.066
11246,BMW,M5,2019.0,Semi-Auto,2269.0,Petrol,145.0,,4.4,3.0,0.0,89900.0,58395.03,31504.969,31504.969
41531,Mercedes-Benz,SL-Class,2016.0,Automatic,6200.0,Petrol,555.0,28.0,5.5,4.0,,49948.0,80234.83,-30286.836,30286.836
1220,Audi,A8,2020.0,Automatic,250.0,Diesel,145.0,39.2,3.0,3.0,0.0,78990.0,49790.78,29199.219,29199.219
12917,BMW,M4,2016.0,Automatic,4550.0,Petrol,300.0,33.2,3.0,3.0,0.0,76990.0,48160.777,28829.223,28829.223
42646,Mercedes-Benz,C-Class,2019.0,Semi-Auto,3398.0,Petrol,145.0,27.2,,2.0,0.0,65000.0,36476.32,28523.68,28523.68
44942,Mercedes-Benz,S-Class,2019.0,Semi-Auto,4688.0,Petrol,326.028,31.7,4.0,1.0,0.0,109995.0,81502.26,28492.742,28492.742
38192,Mercedes-Benz,GLS-Class,2020.0,Semi-Auto,452.0,Diesel,145.0,,3.0,3.0,0.0,71991.0,43529.047,28461.953,28461.953
19640,Ford,Focus,2018.0,Manual,11000.0,Petrol,145.0,36.7,2.3,3.0,0.0,54995.0,26600.266,28394.734,28394.734
41207,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,145.0,28.0,4.0,0.0,0.0,88995.0,61243.758,27751.242,27751.242
3320,Audi,TT,2017.0,Manual,14000.0,Petrol,145.0,47.1,3.739,2.0,0.0,17490.0,44949.402,-27459.402,27459.402
22326,Ford,Focus,2017.0,Manual,,Diesel,,,1.5,3.0,0.0,38015.0,11108.465,26906.535,26906.535
45626,Mercedes-Benz,SL-Class,2016.0,Semi-Auto,21681.0,Petrol,565.0,28.0,5.5,1.0,0.0,52990.0,79710.875,-26720.875,26720.875
4111,Audi,R8,2014.0,Automatic,31930.0,Petrol,580.0,21.9,5.2,1.0,0.0,59990.0,86239.39,-26249.391,26249.391
42643,Mercedes-Benz,SL-Class,2015.0,Automatic,11000.0,Petrol,555.0,28.5,5.5,6.0,0.0,47124.0,73047.52,-25923.523,25923.523
37836,Mercedes-Benz,C-Class,2018.0,Semi-Auto,3891.0,Petrol,,,3.724,1.0,0.0,19980.0,45564.4,-25584.398,25584.398
36394,Mercedes-Benz,SL-Class,2019.0,Automatic,50.0,Petrol,145.0,28.0,5.5,0.0,0.0,89880.0,64553.734,25326.266,25326.266
15120,Ford,Focus,2017.0,Manual,197.0,Diesel,145.0,,1.5,1.0,0.0,38015.0,13224.001,24790.999,24790.999
