Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,brand_encoded,model_delta_encoded,transmission_encoded,fuelType_encoded,car_age,efficiency_ratio,mileage_per_year,brand_popularity,owners_flag,previousOwners_sq,engine_tax_ratio
Ford,Fiesta,0.75,Manual,0.061263347564543526,Petrol,0.25862068965517243,0.6303330992651704,0.0,0.32560976337338043,0.0,0.0,0.1588476258139253,0.1864010523001791,0.0,0.0,0.25,0.8401924509200589,0.34439738092603567,1.0,0.0,0.1111111111111111,0.0009378244683891461
Volkswagen,Golf,0.7142857142857224,Semi-Auto,0.1194276143269793,Diesel,0.05372636216100334,0.6303330992651704,0.1923076923076923,0.5434300522849697,0.5003269404976131,0.0,0.463296748877857,0.2070455123168875,1.0,0.9589340753906317,0.2857142857142857,0.4038483603887413,0.36450304190760136,0.5471869328493648,1.0,0.111401914913592,0.015484461187777908
Ford,Focus,0.8214285714285694,Manual,0.02789172721896971,Petrol,0.29402618199941316,0.5255795567266403,0.0,0.5090336153501775,0.25,0.0,0.1588476258139253,0.21659839265967912,0.0,0.0,0.17857142857142855,0.716938190387758,0.3411849932134334,1.0,0.0,0.0,0.0007302675486187288
Ford,S-MAX,0.75,Semi-Auto,0.08668447889931546,Diesel,0.27586206896551724,0.49569403637772463,0.1923076923076923,0.6805761601181926,0.5,0.0,0.1588476258139253,0.25882883134175116,1.0,0.9589340753906317,0.25,0.32463940127955304,0.3593080171658193,1.0,0.0,0.1111111111111111,0.0024562204253266114
BMW,2 Series,0.7142857142857224,Manual,0.3131661345245833,Diesel,0.034482758620689655,0.702376808354067,0.1923076923076923,0.6967109963338658,0.375,0.0,0.8723071202050083,0.1823914450900335,0.0,0.9589340753906317,0.2857142857142857,0.4462321016664649,0.4554121226171317,0.31528533978624723,0.0,0.027777777777777776,0.024137335271431325
Audi,Q5,0.8214285714285694,Unknown,0.0002569667398351078,Diesel,0.25,0.33979617408699786,0.1923076923076923,0.737048086873049,0.25,0.0,0.8945243971923289,0.28174724824241526,0.38866304113396477,0.9589340753906317,0.17857142857142855,0.23292376441628246,0.30876693473668065,0.3062109296229079,0.0,0.0,0.002790347195215212
Mercedes-Benz,Slk,0.6071428571428612,Automatic,0.10871550685915433,Diesel,0.25,0.5559273013536873,0.21153846153846156,0.4062839444517468,0.375,0.0,1.0,0.0758520395850977,0.7617071390650407,0.9589340753906317,0.39285714285714285,0.34138114451649926,0.34034603158357346,0.6471062714256908,0.0,0.027777777777777776,0.0029696618950554275
BMW,1 Series,0.7142857142857224,Automatic,0.1674122830101641,Diesel,0.034482758620689655,0.7224545633460545,0.1923076923076923,0.648306487686846,0.375,0.0,0.8723071202050083,0.1427481159638404,0.7617071390650407,0.9589340753906317,0.2857142857142857,0.45804396398976477,0.38701917403089026,0.31528533978624723,0.0,0.027777777777777776,0.024137335271431325
Ford,Ecosport,0.8214285714285694,Manual,0.023990786349183734,Petrol,0.25,0.5181338801922989,0.0,0.7531829230887223,0.25,0.0,0.1588476258139253,0.20784177251434968,0.0,0.0,0.17857142857142855,0.7081775190714118,0.33660883886874277,1.0,0.0,0.0,0.0009972001968130584
Opel,Corsa,0.4642857142857224,Manual,0.15789212969699593,Petrol,0.28448275862068967,0.4354607714017619,0.038461538461538436,0.41435136255958344,0.625,0.0,0.0,0.19105562556318517,0.0,0.0,0.5357142857142857,0.5036701772778059,0.339332740264392,0.47166767493446266,1.0,0.25,0.0010965794280498042
Opel,Corsa,0.75,Manual,0.03500939631392047,Petrol,0.25862068965517243,0.54293581282946,0.07692307692307687,0.6160368152554995,0.75,0.0,0.0,0.19105562556318517,0.0,0.0,0.25,0.5174010536480286,0.32899825836929897,0.47166767493446266,1.0,0.4444444444444444,0.0016313329763804425
Škoda,Fabia,0.642857142857153,Manual,0.12327271993025601,Petrol,0.21551724137931033,0.5181338801922989,0.038461538461538436,0.4062839444517468,0.5,0.0,0.2795306318130686,0.16759187134879627,0.0,0.0,0.3571428571428571,0.5847319775357471,0.3497800334590615,0.07632587215164349,0.0,0.1111111111111111,0.001697381405712947
