,price
0,17970.0
1,11724.0
2,7990.0
3,11498.0
4,14578.0
5,17800.0
6,17975.0
7,17789.0
8,13901.0
9,21995.0
10,26999.0
11,24700.0
12,19398.0
13,9995.0
14,14549.0
15,23229.0
16,15770.0
17,8500.0
18,21500.0
19,42650.0
20,21990.0
21,9499.0
22,13999.0
23,24790.0
24,13550.0
25,14000.0
26,8791.0
27,11995.0
28,12495.0
29,15499.0
30,22402.0
31,11270.0
32,9835.0
33,15298.0
34,17480.0
35,14600.0
36,36850.0
37,20450.0
38,31980.0
39,14698.0
40,26790.0
41,26490.0
42,2500.0
43,6391.0
44,21498.0
45,11382.0
46,9698.0
47,2275.0
48,7860.0
49,7995.0
50,17000.0
51,9490.0
52,2645.0
53,14555.0
54,19500.0
55,11500.0
56,29995.0
57,10600.0
58,31890.0
59,15995.0
60,8000.0
61,26491.0
62,6990.0
63,14000.0
64,13500.0
65,12980.0
66,17998.0
67,31899.0
68,1495.0
69,11800.0
70,16995.0
71,16012.0
72,9999.0
73,21498.0
74,7591.0
75,16995.0
76,9698.0
77,18440.0
78,16490.0
79,15480.0
80,7875.0
81,9950.0
82,4998.0
83,26498.0
84,12498.0
85,14491.0
86,18395.0
87,14790.0
88,24990.0
89,6990.0
90,16498.0
91,14970.0
92,10000.0
93,9312.0
94,40000.0
95,22995.0
96,34995.0
97,11999.0
98,15999.0
99,19995.0
100,16790.0
101,23498.0
102,13741.0
103,18998.0
104,13998.0
105,9495.0
106,36993.0
107,13940.0
108,21380.0
109,22895.0
110,10298.0
111,16950.0
112,19985.0
113,16499.0
114,10500.0
115,11499.0
116,8995.0
117,28500.0
118,14400.0
119,10795.0
120,13989.0
121,8391.0
122,149948.0
123,13495.0
124,16990.0
125,8540.0
126,51500.0
127,38975.0
128,15440.0
129,7990.0
130,5988.0
131,12695.0
132,15888.0
133,24750.0
134,7240.0
135,26990.0
136,6797.0
137,5975.0
138,31990.0
139,6208.0
140,26496.0
141,12298.0
142,26995.0
143,14995.0
144,21400.0
145,28990.0
146,19250.0
147,16500.0
148,7800.0
149,12998.0
150,22792.0
151,11790.0
152,29480.0
153,16199.0
154,9995.0
155,19999.0
156,12998.0
157,7191.0
158,18975.0
159,25990.0
160,10995.0
161,12990.0
162,42999.0
163,17440.0
164,9600.0
165,22250.0
166,10700.0
167,23495.0
168,30490.0
169,7000.0
170,16798.0
171,22798.0
172,34990.0
173,11900.0
174,7900.0
175,19490.0
176,20990.0
177,16222.0
178,9490.0
179,17495.0
180,13490.0
181,16290.0
182,17800.0
183,22661.0
184,13500.0
185,10500.0
186,10775.0
187,2695.0
188,18990.0
189,11499.0
190,14994.0
191,6621.0
192,16900.0
193,10798.0
194,25300.0
195,21000.0
196,21450.0
197,8300.0
198,16998.0
199,10308.0
200,17000.0
201,14179.0
202,44999.0
203,18495.0
204,31599.0
205,25701.0
206,15695.0
207,8995.0
208,15995.0
209,11995.0
210,7290.0
211,21489.0
212,12995.0
213,16950.0
214,13999.0
215,55990.0
216,7500.0
217,11091.0
218,18991.0
219,6787.0
220,36500.0
221,18998.0
222,19500.0
223,14897.0
224,20375.0
225,24000.0
226,11500.0
227,13695.0
228,16998.0
229,10499.0
230,18995.0
231,10199.0
232,13963.0
233,25812.0
234,59995.0
235,11700.0
236,16250.0
237,10020.0
238,8998.0
239,9000.0
240,22990.0
241,30000.0
242,6495.0
243,18495.0
244,5995.0
245,9734.0
246,7495.0
247,16495.0
248,12199.0
249,8499.0
250,8495.0
251,6990.0
252,20062.0
253,21490.0
254,11394.0
255,7790.0
256,9490.0
257,6950.0
258,9590.0
259,25999.0
260,18896.0
261,5999.0
262,31990.0
263,28000.0
264,15499.0
265,7795.0
266,11700.0
267,21998.0
268,21498.0
269,8790.0
270,17998.0
271,18995.0
272,18000.0
273,15590.0
274,8690.0
275,17495.0
276,7995.0
277,31666.0
278,9995.0
279,17490.0
280,23800.0
281,7998.0
282,13400.0
283,9298.0
284,16300.0
285,21699.0
286,2495.0
287,12990.0
288,20500.0
289,11700.0
290,18750.0
291,14800.0
292,6790.0
293,66991.0
294,24989.0
295,13649.0
296,10499.0
297,10500.0
298,14800.0
299,53792.0
300,11925.0
301,12000.0
302,37980.0
303,52000.0
304,9995.0
