Brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage
Volkswagen,Golf,2016,22290.0,Semi-Auto,28421.0,Petrol,,11.417267753816397,2.0,63.0,4,0.0
Toyota,Yaris,2019,13790.0,Manual,4589.0,Petrol,145.0,47.9,1.5,50.0,1,0.0
Audi,Q2,2019,24990.0,Semi-Auto,3624.0,Petrol,145.0,40.9,1.5,56.0,4,0.0
Ford,Fiesta,2018,12500.0,Manual,9102.0,Petrol,145.0,65.7,1.0,50.0,,0.0
BMW,2 Series,2019,22995.0,Manual,1000.0,Petrol,145.0,42.8,1.5,97.0,3,0.0
BMW,3 Series,2014,8199.0,Manual,101153.3482853059,Diesel,30.0,65.7,2.0,74.0,0,0.0
Audi,A3,2017,16089.0,Manual,21396.0,Petrol,20.0,60.1,1.4,75.0,4,0.0
Škoda,Octavia,2017,7500.0,Manual,116750.0,Diesel,145.0,68.9,1.6,59.0,4,0.0
Volkswagen,Passat,2017,15999.0,Semi-Auto,30339.0,Diesel,150.0,62.8,2.0,85.0,4,0.0
Ford,Focus,2019,15300.0,Manual,10700.0,Petrol,150.0,60.1,1.0,35.0,1,0.0
Opel,Insignia,2018,11998.0,Manual,21123.0,Diesel,145.0,65.7,1.6,68.0,4,0.0
Mercedes-Benz,A-Class,2020,24109.0,Semi-Auto,1000.0,Diesel,145.0,67.3,1.5,45.0,1,0.0
Audi,Q3,2017,17799.0,Automatic,26360.0,Petrol,145.0,47.9,1.4,30.0,4,0.0
Škoda,Fabia,2019,13295.0,Automatic,14378.0,Petrol,145.0,60.1,,59.0,1,0.0
Volkswagen,Golf,2017,13990.0,Manual,9500.0,Petrol,150.0,54.3,1.4,69.0,2,0.0
Mercedes-Benz,A-Class,2019,19491.0,Automatic,7057.0,Diesel,145.0,68.9,1.5,74.0,3,0.0
Ford,Ka+,2018,6990.0,Manual,15472.0,Petrol,145.0,57.7,1.2,53.0,4,0.0
BMW,3 Series,2017,19995.0,Semi-Auto,9981.0,Diesel,150.0,62.8,2.0,57.0,0,0.0
Ford,Focus,2017,18997.0,Manual,20112.0,Petrol,,,2.0,40.0,4,0.0
Mercedes-Benz,GLC-Class,2017,28995.0,Automatic,30808.0,Diesel,150.0,56.5,,60.0,1,0.0
Hyundai,i30,2016,7500.0,Manual,51236.0,Diesel,20.0,72.4,1.6,94.0,4,0.0
Mercedes-Benz,C-Class,2019,31299.0,Semi-Auto,1000.0,Diesel,,,2.0,33.0,4,0.0
Volkswagen,Polo,2016,8995.0,Manual,29925.0,Petrol,20.0,60.1,1.0,51.0,4,0.0
Mercedes-Benz,E-Class,2019,45995.0,Automatic,922.0,Diesel,145.0,47.1,3.0,50.0,1,0.0
Volkswagen,Golf,2013,12299.0,Automatic,64739.0,Petrol,160.0,44.1,2.0,47.0,4,0.0
Mercedes-Benz,C-Class,2019,26176.0,,9463.0,Petrol,,,1.5,87.0,1,0.0
Audi,Q5,2019,57895.0,Automatic,1255.0,Diesel,145.0,32.5,3.0,61.0,1,0.0
Volkswagen,Up,2017,6750.0,Manual,42000.0,Petrol,20.0,60.1,1.0,83.0,4,0.0
Ford,Fiesta,2019,17990.0,Automatic,7295.0,Petrol,145.0,48.7,1.0,95.0,1,0.0
Toyota,CH-R,2017,15490.0,Automatic,59000.0,Hybrid,0.0,74.3,1.8,95.0,2,0.0
Opel,Mokka X,2017,10650.0,Semi-Auto,23000.0,Petrol,150.0,43.5,1.4,46.0,2,0.0
Mercedes-Benz,C-Class,2015,16998.0,,43883.0,Diesel,125.0,60.1,2.1,54.0,0,0.0
Ford,Fiesta,2015,6800.0,Unknown,40160.0,Petrol,125.0,54.3,1.2,59.0,4,0.0
Mercedes-Benz,C-Class,2016,21499.0,Automatic,26741.0,Diesel,,,2.1,80.0,1,0.0
Toyota,Yaris,2023,16995.0,Manual,1225.0,Petrol,145.0,47.9,1.5,77.0,0,0.0
Opel,Corsa,2019,9795.0,Manual,14787.0,Petrol,145.0,43.5,1.4,90.0,3,0.0
Opel,Astra,2015,6995.0,,,Diesel,0.0,78.5,1.6,61.0,2,0.0
Audi,TT,2019,29485.0,Automatic,3000.0,Petrol,145.0,40.9,2.0,91.0,2,0.0
Volkswagen,Golf,2019,21995.0,Semi-Auto,16998.0,Petrol,145.0,43.5,1.5,71.0,1,0.0
BMW,5 Series,2019,27780.0,Semi-Auto,12182.0,Diesel,145.0,65.7,2.0,35.0,1,0.0
Opel,Astra,2017,12000.0,Manual,16207.0,Petrol,125.0,51.4,1.4,44.0,1,0.0
BMW,3 Series,2020,32995.0,Semi-Auto,1501.0,Diesel,145.0,50.4,2.0,77.0,0,0.0
Ford,Focus,2019,17990.0,Automatic,3289.0,Diesel,,,1.5,38.0,1,0.0
Toyota,Aygo,2018,7985.0,Automatic,14949.0,Petrol,150.0,67.0,1.0,69.0,0,0.0
Mercedes-Benz,A-Class,2019,19424.0,Manual,8276.0,Petrol,145.0,28.5,1.3,64.0,0,0.0
Škoda,Fabia,2020,11990.0,,835.0,Petrol,145.0,47.1,1.0,55.0,3,0.0
BMW,4 Series,2019,36999.0,Automatic,3500.0,Diesel,145.0,50.4,3.0,46.0,3,0.0
Mercedes-Benz,C-Class,2020,30999.0,Automatic,1000.0,Diesel,145.0,64.2,2.0,61.0,4,0.0
Opel,Corsa,2019,9995.0,Manual,4366.0,Petrol,150.0,43.5,,66.0,3,0.0
BMW,2 Series,2018,20981.0,Manual,15674.0,Petrol,150.0,47.1,1.5,90.0,2,0.0
Mercedes-Benz,A-Class,2018,17250.0,Automatic,16031.0,Diesel,150.0,74.3,1.5,82.0,2,0.0
